                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8229,                 2.4869,                 1.0636,                0.35994,                0.15401,                0.11723,                0.06153,                 1.6963,                 1.5854,                 1.0165,              0.0033251,              0.0033251,              0.0033251
                      2,                 1.7324,                 1.6247,                 1.0193,                0.20739,                0.17844,                0.14487,                0.07735,                 1.7082,                 1.5105,                0.98863,              0.0065925,              0.0065925,              0.0065925
                      3,                 1.7465,                 1.5557,                 1.0135,                0.23054,                0.20697,                0.15983,                0.08918,                 1.6574,                 1.4335,                0.99291,              0.0097939,              0.0097939,              0.0097939
                      4,                 1.7234,                 1.4904,                 1.0066,                0.25859,                0.21321,                0.18329,                0.09918,                 1.6343,                 1.4463,                0.97667,               0.009703,               0.009703,               0.009703
                      5,                 1.6824,                 1.4276,                0.99431,                0.29377,                0.23689,                  0.208,                0.11666,                 1.5867,                 1.2905,                0.96782,               0.009604,               0.009604,               0.009604
                      6,                 1.6545,                 1.3688,                0.98349,                0.30784,                0.23094,                0.21006,                 0.1167,                 1.6004,                  1.298,                0.96861,               0.009505,               0.009505,               0.009505
                      7,                 1.6166,                 1.3298,                0.97897,                 0.3038,                0.24572,                0.21892,                 0.1227,                 1.5372,                 1.2363,                0.95524,               0.009406,               0.009406,               0.009406
                      8,                 1.6061,                 1.3012,                0.97178,                 0.3188,                0.24731,                0.22416,                0.12451,                 1.5667,                 1.2279,                0.95779,               0.009307,               0.009307,               0.009307
                      9,                 1.5867,                 1.2771,                0.96866,                0.33012,                0.24782,                0.23188,                0.13122,                 1.5268,                 1.2277,                 0.9549,               0.009208,               0.009208,               0.009208
                     10,                  1.573,                 1.2491,                 0.9665,                0.33256,                0.27291,                0.24502,                0.13928,                 1.4979,                 1.1884,                0.94687,               0.009109,               0.009109,               0.009109
